pais;comentario
Canada;I use it every day and I am sometimes surprised at the most efficient route, but it seems to work!
United Kingdom;Latest update is a joke, when trying to close the irritating suggested pages the whole app just now closes, what a waste of time, do you never test updates?
Singapore;Awesome App
Hong Kong;Pls fix
South Africa;I can't believe that this app is free. It is really fantastic and has helped so many people I know lose weight. It has every product found on the shelves.
Hong Kong;Huge data base whicg easy for me to keep track on my diet, i hope they can expand the excerise data base too
South Africa;Great app and very user friendly..
Hong Kong;Cannot upload videos, cannot download pics, cannot pause when the video running, not really friendly for using
Australia;Excellent app for tracking food every day. The only thing that could be improved is the ability to change from calories to kilojoules.
United States;This is a great app. It has helped to increase my awareness of the calories and nutrition I consume as well as a very good logging of calorie expenditure. Thank you
United States;Meh.?ï¸
United States;New update is crashing on iPad, fix it. If I press Sales Groups, it crashes.
United States;Oh for crying out loud enable LANDSCAPE!!!!! This is just stupid.
United States;Was working perfectly well till I did the update 2 days ago. Had problem logging in information into the app and different aspects wouldn't sync. Now unable to log into the app after uninstalling and reinstalling it, keep getting error message. Hope Fitbit fixes this soon.
United States;I've been using my Fitbit alta since christmas, love it, love the app, But I would also like to see improvements in the food department. \n \n Could you please make a better search for common foods? They don't always show up, instead I get a bunch of generic brands I don't really eat. \n \n And I would love to see that you guys could create a recipe log. A place where you add ingredients to know how much your homemade mango smoothie actual nutrition info is. And the ability to store it.\n \n Also, a sugar% please! A way to track sugar would be awesome. Please please please
United States;Just getting started but liking my fit bit so far
United States;Strongly reccomend for boosting your ecommerce with more Sales and engaged clients
United States;I get see what my friends are up now
United States;Awesome place to express your ideas
United States;its awesome
United States;A darkmode would make this already great survice even better so please implement a darkmode!!
United States;So cool
United States;I love this app--especially for recipes. Also great for game ideas with the kids, fundraising ideas, decor, fashion...life!!
United States;I used the like button often and now that it's gone it's frustrating when I don't know what board a pin should go but I also can't save it. Also all the pins I had liked are just gone! I think it was more useful to some users than what you thought.
United States;I find it pretty easy to use.
United States;Why did you remove this feature? I use it to flip phone onto seat so it turns off display saving on battery. Please add it again.
United States;Why would you allow the ads to cover 1/2 of the screen? Why would you allow the ad to remain there for so long? Do you really think it's safe for me to X out of the ad while driving? My directions are typed in before I drive so why would I touch my screen to remove an ad? Why doesn't the voice tell me the name of the street before I get there? It currently tells me just as I am on the street making it impossible to turn. Why doesn't this app tell my which side of the street my destination is on? Take a page out of google apps' book and fix this app. It used to be great! It can be again!
United States;Works great
United States;Great app. Needs compatibility with the Apple watch. Then it will be perfect.
United States;Love this app. Granddaughter traveling in Europe this summer and we're able to communicate and enjoy some of the sites she's serinf.
